Date : 2023-04-30 18:19:58
Directory : c:\Users\Dell Latitude\Documents\coding_files\restaurant
Total : 213 files,  17084 codes, 1608 comments, 1551 blanks, all 20243 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_15_150809_create_admins_table.php                        | PHP        |         18 |          6 |          4 |         28 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_16_011944_create_orders_table.php                        | PHP        |         25 |          6 |          4 |         35 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_16_122130_create_order_product_table.php                 | PHP        |         22 |          6 |          4 |         32 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_17_005929_create_tables_table.php                        | PHP        |         21 |          6 |          4 |         31 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_17_010354_create_bookings_table.php                      | PHP        |         28 |          6 |          4 |         38 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_17_170642_create_inboxes_table.php                       | PHP        |         22 |          6 |          4 |         32 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_22_060015_add_quantity_column_to_order_product_table.php | PHP        |         19 |          6 |          4 |         29 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\migrations\2023_04_22_075806_add_delivery_type_column_to_orders_table.php   | PHP        |         19 |          6 |          4 |         29 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\database\seeders\DatabaseSeeder.php                                                  | PHP        |         10 |          8 |          5 |         23 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\package.json                                                                         | JSON       |         12 |          0 |          1 |         13 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\phpunit.xml                                                                          | XML        |         29 |          2 |          1 |         32 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\admin-unauthenticated.css                                                 | CSS        |         89 |          2 |         12 |        103 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\admin.css                                                                 | CSS        |        769 |         20 |        139 |        928 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\main.css                                                                  | CSS        |      1,354 |         29 |         93 |      1,476 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\css\modal.css                                                                 | CSS        |         36 |          0 |          6 |         42 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\index.php                                                                     | PHP        |         14 |         30 |         12 |         56 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\carousel.js                                                                | JavaScript |         47 |          4 |          6 |         57 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\charts.js                                                                  | JavaScript |          3 |          1 |          0 |          4 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\dropdown.js                                                                | JavaScript |         15 |          0 |          1 |         16 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\modal.js                                                                   | JavaScript |         48 |          0 |         14 |         62 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\public\js\swiper.js                                                                  | JavaScript |         13 |          4 |          3 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\css\app.css                                                                | CSS        |          0 |          0 |          1 |          1 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\js\app.js                                                                  | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\js\bootstrap.js                                                            | JavaScript |          3 |         23 |          7 |         33 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\auth\login.blade.php                                           | PHP        |         20 |          0 |          4 |         24 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\auth\signup.blade.php                                          | PHP        |         17 |          0 |          3 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\booking\index.blade.php                                        | PHP        |         13 |          0 |          5 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\category\create.blade.php                                      | PHP        |         45 |          0 |          7 |         52 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\category\edit.blade.php                                        | PHP        |         47 |          0 |          7 |         54 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\category\index.blade.php                                       | PHP        |         16 |          0 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\customer\index.blade.php                                       | PHP        |         13 |          0 |          4 |         17 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\dashboard.blade.php                                            | PHP        |         54 |          0 |         12 |         66 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\delivery-man\create.blade.php                                  | PHP        |         86 |          0 |          7 |         93 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\delivery-man\edit.blade.php                                    | PHP        |         66 |          0 |          8 |         74 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\delivery-man\index.blade.php                                   | PHP        |         16 |          0 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\order\index.blade.php                                          | PHP        |         13 |          0 |          4 |         17 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\order\show.blade.php                                           | PHP        |         86 |          0 |          9 |         95 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\product\create.blade.php                                       | PHP        |        105 |          4 |         11 |        120 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\product\edit.blade.php                                         | PHP        |        107 |          4 |         11 |        122 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\product\index.blade.php                                        | PHP        |         16 |          0 |          2 |         18 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\table\create.blade.php                                         | PHP        |         54 |          0 |          7 |         61 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\table\edit.blade.php                                           | PHP        |         55 |          0 |          7 |         62 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\table\index.blade.php                                          | PHP        |         16 |          0 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\admin\testimonials\index.blade.php                                   | PHP        |         16 |          0 |          4 |         20 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\booking.blade.php                                                    | PHP        |        108 |          0 |          9 |        117 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\cart.blade.php                                                       | PHP        |         68 |          0 |         11 |         79 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\admin-sidebar.blade.php                                   | PHP        |         53 |          0 |         11 |         64 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\banner.blade.php                                          | PHP        |          3 |          0 |          1 |          4 |
| c:\Users\Dell Latitude\Documents\coding_files\restaurant\resources\views\components\bar-chart.blade.php                                       | PHP        |         52 |         10 |         10 |         72 |
